X,Y
-81.23426209,-4.25108768
-81.23426204,-4.250951533
-81.23425223,-4.250951536
-81.23425213,-4.250630425
-81.2342521,-4.250527867
-81.23424229,-4.25052787
-81.23424226,-4.250433372
-81.23424216,-4.2501042
-81.23423443,-4.251087689
-81.23423443,-4.251077836
-81.23423235,-4.250104203
-81.23423226,-4.249832355
-81.23423225,-4.249773238
-81.23423222,-4.249680533
-81.2342224,-4.249680536
-81.23422239,-4.249625449
-81.23422237,-4.24955648
-81.23422235,-4.24948751
-81.23422234,-4.249477657
-81.23422233,-4.249438246
-81.23422231,-4.24937913
-81.2342223,-4.249320013
-81.23422228,-4.249280602
-81.23422228,-4.249256866
-81.23421246,-4.249256869
-81.23421245,-4.249201782
-81.23421243,-4.249152518
-81.23421241,-4.249093402
-81.23421239,-4.249004727
-81.23421238,-4.248975168
-81.23421234,-4.248843052
-81.23420252,-4.248843055
-81.23420243,-4.248521943
-81.2342024,-4.248419385
-81.23419258,-4.248419388
-81.23419253,-4.248255921
-81.23419251,-4.248177098
-81.23419247,-4.248058865
-81.23419245,-4.247995718
-81.23418264,-4.247995721
-81.23418262,-4.247911076
-81.23418259,-4.247822401
-81.23418257,-4.247763284
-81.23418251,-4.247572051
-81.23417554,-4.251077854
-81.2341727,-4.247572054
-81.23417257,-4.247148384
-81.23416573,-4.251077857
-81.23416573,-4.251068004
-81.23416276,-4.247148387
-81.23416263,-4.246724717
-81.23415282,-4.24672472
-81.23415275,-4.246517811
-81.2341461,-4.25106801
-81.23414609,-4.251058157
-81.23413491,-4.246527669
-81.23413491,-4.246517817
-81.23411665,-4.251058166
-81.23411665,-4.251048313
-81.23410547,-4.246537531
-81.23410547,-4.246527678
-81.23408721,-4.251048322
-81.23408721,-4.25103847
-81.23407604,-4.246547393
-81.23407603,-4.24653754
-81.23406758,-4.251038476
-81.23406757,-4.251028623
-81.23404795,-4.251028629
-81.23404794,-4.251018776
-81.2340466,-4.246557255
-81.23404659,-4.246547402
-81.23403813,-4.251018779
-81.23403813,-4.251008926
-81.23402831,-4.251008929
-81.23402831,-4.250999076
-81.23401716,-4.246567116
-81.23401716,-4.246557264
-81.23398772,-4.246576978
-81.23398772,-4.246567125
-81.23397344,-4.250999093
-81.23395828,-4.24658684
-81.23395828,-4.246576987
-81.23392884,-4.246596702
-81.23392884,-4.246586849
-81.23390876,-4.251008966
-81.23390876,-4.250999113
-81.2338994,-4.246606563
-81.2338994,-4.246596711
-81.23388914,-4.251018824
-81.23388913,-4.251008971
-81.23387978,-4.246616422
-81.23387978,-4.246606569
-81.23385034,-4.246626284
-81.23385034,-4.246616431
-81.23384007,-4.251028692
-81.23384007,-4.251018839
-81.23383026,-4.251038548
-81.23383026,-4.251028695
-81.2338209,-4.246636146
-81.2338209,-4.246626293
-81.23381063,-4.251048407
-81.23381063,-4.251038554
-81.23379146,-4.246646007
-81.23379146,-4.246636155
-81.23379101,-4.251058265
-81.23379101,-4.251048412
-81.2337812,-4.251068121
-81.23378119,-4.251058268
-81.23377184,-4.246655866
-81.23377184,-4.246646013
-81.23377139,-4.25108783
-81.23377138,-4.251068124
-81.23376158,-4.251107538
-81.23376158,-4.251087833
-81.23375177,-4.251117394
-81.23375177,-4.251107541
-81.2337424,-4.246665728
-81.2337424,-4.246655875
-81.23374196,-4.25112725
-81.23374196,-4.251117397
-81.23373215,-4.251146958
-81.23373215,-4.251127253
-81.23372278,-4.246675587
-81.23372277,-4.246665734
-81.23372234,-4.251156814
-81.23372234,-4.251146961
-81.23371253,-4.251176523
-81.23371253,-4.251156817
-81.23370273,-4.251196231
-81.23370272,-4.251176526
-81.23369291,-4.251206087
-81.23369291,-4.251196234
-81.23368311,-4.251225795
-81.2336831,-4.25120609
-81.2336733,-4.251245504
-81.23367329,-4.251225798
-81.23366349,-4.25125536
-81.23366348,-4.251245507
-81.23365368,-4.251275068
-81.23365367,-4.251255363
-81.23364387,-4.251294777
-81.23364387,-4.251275071
-81.23363406,-4.251304633
-81.23363406,-4.25129478
-81.23362425,-4.251324341
-81.23362425,-4.251304636
-81.23361444,-4.251334197
-81.23361444,-4.251324344
-81.23361304,-4.24667562
-81.23361304,-4.246665767
-81.23360463,-4.251353906
-81.23360463,-4.2513342
-81.23359483,-4.251373614
-81.23359482,-4.251353909
-81.23358359,-4.246665776
-81.23358359,-4.246655923
-81.23356539,-4.251393329
-81.23356538,-4.251373623
-81.23356396,-4.246655929
-81.23356396,-4.246646076
-81.23355558,-4.25142289
-81.23355558,-4.251393332
-81.23354579,-4.25148201
-81.23354577,-4.251422893
-81.23354433,-4.246646082
-81.23354433,-4.24663623
-81.23353598,-4.251501718
-81.23353597,-4.251482013
-81.23352617,-4.251521427
-81.23352617,-4.251501721
-81.23351636,-4.251531283
-81.23351636,-4.25152143
-81.23350655,-4.251541138
-81.23350655,-4.251531286
-81.23349674,-4.251560847
-81.23349674,-4.251541141
-81.23348693,-4.251570703
-81.23348693,-4.25156085
-81.23347712,-4.251580558
-81.23347712,-4.251570706
-81.23346731,-4.251600267
-81.23346731,-4.251580561
-81.2334575,-4.251610123
-81.2334575,-4.25160027
-81.23344769,-4.251629831
-81.23344769,-4.251610126
-81.23344619,-4.246636259
-81.23344619,-4.246616554
-81.23343788,-4.251639687
-81.23343788,-4.251629834
-81.23342807,-4.251649543
-81.23342807,-4.25163969
-81.23342656,-4.24661656
-81.23342655,-4.246606707
-81.23341826,-4.251669251
-81.23341826,-4.251649546
-81.23340871,-4.246616565
-81.23340871,-4.246606712
-81.23340845,-4.251679107
-81.23340845,-4.251669254
-81.23339865,-4.251698816
-81.23339864,-4.25167911
-81.23338884,-4.251718524
-81.23338883,-4.251698819
-81.23337903,-4.25172838
-81.23337902,-4.251718527
-81.23336922,-4.251738236
-81.23336921,-4.251728383
-81.23335941,-4.251757944
-81.2333594,-4.251738239
-81.2333496,-4.2517678
-81.23334959,-4.251757947
-81.23333979,-4.251787509
-81.23333978,-4.251767803
-81.23332998,-4.251807217
-81.23332997,-4.251787512
-81.23332017,-4.251817073
-81.23332017,-4.25180722
-81.23331036,-4.251836782
-81.23331036,-4.251817076
-81.23330055,-4.25185649
-81.23330055,-4.251836785
-81.23329075,-4.251876199
-81.23329074,-4.251856493
-81.23328094,-4.251895907
-81.23328093,-4.251876202
-81.23327113,-4.251905763
-81.23327112,-4.25189591
-81.23326132,-4.251925472
-81.23326131,-4.251905766
-81.23325151,-4.25194518
-81.2332515,-4.251925475
-81.2332417,-4.251964889
-81.2332417,-4.251945183
-81.23323207,-4.246626471
-81.23323207,-4.246616619
-81.23323189,-4.251984597
-81.23323189,-4.251964892
-81.23322208,-4.251994453
-81.23322208,-4.2519846
-81.23321228,-4.252014162
-81.23321227,-4.251994456
-81.23320246,-4.252024017
-81.23320246,-4.252014165
-81.23319266,-4.252043726
-81.23319265,-4.25202402
-81.23318285,-4.252053582
-81.23318284,-4.252043729
-81.23317304,-4.25207329
-81.23317303,-4.252053585
-81.23316323,-4.252083146
-81.23316322,-4.252073293
-81.23315342,-4.252093002
-81.23315341,-4.252083149
-81.23312398,-4.252102863
-81.23312397,-4.252093011
-81.23311417,-4.252112719
-81.23311416,-4.252102866
-81.23310436,-4.252132428
-81.23310435,-4.252112722
-81.23309455,-4.252142284
-81.23309454,-4.252132431
-81.23308474,-4.252152139
-81.23308473,-4.252142286
-81.23307493,-4.252171848
-81.23307492,-4.252152142
-81.23306512,-4.252191556
-81.23306511,-4.252171851
-81.23305531,-4.252201412
-81.23305531,-4.252191559
-81.2330455,-4.252211268
-81.2330455,-4.252201415
-81.23303569,-4.252230976
-81.23303568,-4.252211271
-81.23302588,-4.252240832
-81.23302588,-4.252230979
-81.23301607,-4.252250688
-81.23301607,-4.252240835
-81.23300626,-4.252270397
-81.23300625,-4.252250691
-81.23300456,-4.24662654
-81.23300456,-4.246616687
-81.23299645,-4.252280252
-81.23299645,-4.252270399
-81.23298664,-4.252290108
-81.23298664,-4.252280255
-81.23297683,-4.252309817
-81.23297682,-4.252290111
-81.23296702,-4.252319672
-81.23296702,-4.25230982
-81.23295721,-4.252329528
-81.23295721,-4.252319675
-81.2329474,-4.252339384
-81.23294739,-4.252329531
-81.23293759,-4.252359092
-81.23293758,-4.252339387
-81.23292778,-4.252368948
-81.23292778,-4.252359095
-81.23291797,-4.252378804
-81.23291796,-4.252368951
-81.23290816,-4.25238866
-81.23290815,-4.252378807
-81.23289834,-4.252388663
-81.23278866,-4.246616753
-81.23278865,-4.2466069
-81.2327806,-4.252487226
-81.23278058,-4.252388698
-81.23277081,-4.252536493
-81.23277079,-4.252487229
-81.23276278,-4.252536496
-81.23276277,-4.252526643
-81.23274315,-4.252526649
-81.23274314,-4.252516796
-81.23272352,-4.252516802
-81.23272351,-4.252506949
-81.23270033,-4.246606927
-81.23270033,-4.246597074
-81.23264144,-4.246597092
-81.23264144,-4.246587239
-81.23260484,-4.255452969
-81.23260483,-4.255395645
-81.23260482,-4.255385792
-81.23260397,-4.252546396
-81.23260396,-4.252506985
-81.2325952,-4.256034287
-81.23259519,-4.256000698
-81.23259519,-4.255986815
-81.23259505,-4.255531794
-81.23259503,-4.255452972
-81.23259237,-4.246587254
-81.23259237,-4.246577401
-81.2325854,-4.256053995
-81.23258539,-4.25603429
-81.23258525,-4.255551503
-81.23258524,-4.255531797
-81.2325852,-4.255385798
-81.23258519,-4.255375945
-81.23258435,-4.252556255
-81.23258434,-4.252546402
-81.23257559,-4.256073704
-81.23257558,-4.256053998
-81.23257556,-4.255986821
-81.23257556,-4.255976968
-81.23257538,-4.255375948
-81.23257537,-4.255336537
-81.23257526,-4.254970191
-81.23257525,-4.254942425
-81.23257454,-4.252575964
-81.23257453,-4.252556258
-81.23256578,-4.256103265
-81.23256577,-4.256073707
-81.23256555,-4.25533654
-81.23256554,-4.255306981
-81.23256545,-4.254999753
-81.23256544,-4.254970194
-81.23256484,-4.252960225
-81.23256484,-4.252952165
-81.2325648,-4.252833931
-81.23256473,-4.252585819
-81.23256472,-4.252575967
-81.23255609,-4.256517085
-81.23255609,-4.256493349
-81.23255608,-4.256459761
-81.23255598,-4.256132826
-81.23255597,-4.256103268
-81.23255573,-4.255306984
-81.23255571,-4.255238015
-81.23255567,-4.255098284
-81.23255565,-4.255054842
-81.23255564,-4.254999756
-81.23255504,-4.25299964
-81.23255503,-4.252960228
-81.23255492,-4.252605528
-81.23255491,-4.252585822
-81.23255311,-4.246577413
-81.23255311,-4.24656756
-81.23255161,-4.254942432
-81.2325463,-4.25659591
-81.23254628,-4.256517088
-81.23254626,-4.256459764
-81.23254626,-4.256449911
-81.23254617,-4.256152535
-81.23254616,-4.256132829
-81.2325459,-4.255238018
-81.23254588,-4.255173079
-81.23254587,-4.255153373
-81.23254585,-4.255098287
-81.23254523,-4.253029201
-81.23254522,-4.252999643
-81.23254511,-4.252625237
-81.23254511,-4.252605531
-81.2325365,-4.256615619
-81.23253649,-4.256595913
-81.23253637,-4.256182096
-81.23253636,-4.256152538
-81.23253543,-4.253058762
-81.23253542,-4.253029204
-81.23253536,-4.25283394
-81.23253535,-4.252814235
-81.2325353,-4.252644945
-81.2325353,-4.25262524
-81.23252669,-4.256635327
-81.23252668,-4.256615622
-81.23252663,-4.256449917
-81.23252659,-4.256311978
-81.23252656,-4.256201805
-81.23252655,-4.256182099
-81.23252563,-4.253098176
-81.23252561,-4.253058765
-81.23252554,-4.252814238
-81.23252549,-4.252644948
-81.23251688,-4.256645183
-81.23251687,-4.25663533
-81.23251678,-4.256311981
-81.23251674,-4.256201808
-81.23251582,-4.25313759
-81.23251581,-4.253098179
-81.23251385,-4.246567572
-81.23251385,-4.246557719
-81.2325071,-4.256783125
-81.2325071,-4.256775065
-81.2325071,-4.256775065
-81.23250706,-4.256645186
-81.23250602,-4.253177005
-81.23250601,-4.253137593
-81.23249732,-4.256871803
-81.23249729,-4.256783128
-81.23249622,-4.253226272
-81.23249621,-4.253177008
-81.23248642,-4.253265686
-81.23248641,-4.253226274
-81.23248349,-4.256871807
-81.2324773,-4.255561388
-81.23247729,-4.255551536
-81.23247661,-4.253285394
-81.23247661,-4.253265689
-81.23246748,-4.255571244
-81.23246748,-4.255561391
-81.2324668,-4.253305103
-81.2324668,-4.253285397
-81.23246478,-4.246557734
-81.23246478,-4.246547881
-81.23245767,-4.2555811
-81.23245767,-4.255571247
-81.23244787,-4.255600808
-81.23244786,-4.255581103
-81.23244756,-4.254585971
-81.23244756,-4.254577911
-81.23244719,-4.253334667
-81.23244718,-4.253305109
-81.23243805,-4.255610664
-81.23243805,-4.255600811
-81.23243785,-4.254942467
-81.23243785,-4.254932614
-81.23243775,-4.254595827
-81.23243775,-4.254585974
-81.23243738,-4.253364228
-81.23243737,-4.25333467
-81.23243534,-4.24654789
-81.23243533,-4.246538037
-81.23242862,-4.256881677
-81.23242862,-4.256871824
-81.23242835,-4.255977013
-81.23242832,-4.255868632
-81.23242831,-4.255858779
-81.23242825,-4.255630373
-81.23242824,-4.255610667
-81.23242794,-4.254605683
-81.23242794,-4.25459583
-81.23242758,-4.253413495
-81.23242757,-4.253364231
-81.23241881,-4.256901385
-81.23241881,-4.25688168
-81.2324185,-4.255858782
-81.2324185,-4.255848929
-81.23241844,-4.255640229
-81.23241843,-4.255630376
-81.23241813,-4.254615538
-81.23241812,-4.254605686
-81.23241778,-4.253462762
-81.23241777,-4.253413498
-81.23241571,-4.246538043
-81.2324157,-4.24652819
-81.232409,-4.256911241
-81.232409,-4.256901388
-81.23240868,-4.255848932
-81.23240868,-4.255839079
-81.23240863,-4.255659937
-81.23240862,-4.255640231
-81.23240832,-4.254625394
-81.23240831,-4.254615541
