X,Y
-81.2365858,-4.25450217
-81.23658576,-4.254366023
-81.23657595,-4.254366026
-81.23657585,-4.254044914
-81.23657582,-4.253942355
-81.236566,-4.253942358
-81.23656597,-4.253847861
-81.23656587,-4.253518688
-81.23655815,-4.254502178
-81.23655814,-4.254492325
-81.23655606,-4.253518691
-81.23655598,-4.253246843
-81.23655596,-4.253187726
-81.23655593,-4.253095021
-81.23654612,-4.253095024
-81.2365461,-4.253039937
-81.23654608,-4.252970967
-81.23654606,-4.252901998
-81.23654605,-4.252892145
-81.23654604,-4.252852734
-81.23654602,-4.252793617
-81.23654601,-4.2527345
-81.23654599,-4.252695089
-81.23654599,-4.252671353
-81.23653617,-4.252671356
-81.23653616,-4.25261627
-81.23653614,-4.252567006
-81.23653612,-4.252507889
-81.2365361,-4.252419214
-81.23653609,-4.252389655
-81.23653605,-4.252257538
-81.23652623,-4.252257542
-81.23652613,-4.251936429
-81.2365261,-4.251833871
-81.23651629,-4.251833874
-81.23651624,-4.251670407
-81.23651622,-4.251591584
-81.23651618,-4.251473351
-81.23651616,-4.251410204
-81.23650635,-4.251410207
-81.23650632,-4.251325562
-81.23650629,-4.251236887
-81.23650628,-4.25117777
-81.23650622,-4.250986536
-81.23649926,-4.254492344
-81.2364964,-4.250986539
-81.23649627,-4.250562869
-81.23648944,-4.254492347
-81.23648944,-4.254482494
-81.23648646,-4.250562872
-81.23648633,-4.250139201
-81.23647652,-4.250139204
-81.23647645,-4.249932296
-81.23646981,-4.2544825
-81.23646981,-4.254472647
-81.23645861,-4.249942154
-81.23645861,-4.249932301
-81.23644037,-4.254472656
-81.23644036,-4.254462803
-81.23642917,-4.249952016
-81.23642917,-4.249942163
-81.23641092,-4.254462812
-81.23641092,-4.25445296
-81.23639973,-4.249961877
-81.23639973,-4.249952025
-81.23639129,-4.254452966
-81.23639129,-4.254443113
-81.23637166,-4.254443119
-81.23637165,-4.254433266
-81.23637029,-4.249971739
-81.23637029,-4.249961887
-81.23636184,-4.254433269
-81.23636184,-4.254423416
-81.23635202,-4.254423419
-81.23635202,-4.254413566
-81.23634085,-4.249981601
-81.23634085,-4.249971748
-81.23631142,-4.249991463
-81.23631141,-4.24998161
-81.23629715,-4.254413583
-81.23628198,-4.250001325
-81.23628197,-4.249991472
-81.23625254,-4.250011187
-81.23625253,-4.250001334
-81.23623247,-4.254423456
-81.23623246,-4.254413603
-81.2362231,-4.250021048
-81.23622309,-4.250011196
-81.23621284,-4.254433315
-81.23621284,-4.254423462
-81.23620347,-4.250030907
-81.23620347,-4.250021055
-81.23617403,-4.250040769
-81.23617403,-4.250030916
-81.23616377,-4.254443183
-81.23616377,-4.25443333
-81.23615396,-4.254453038
-81.23615396,-4.254443186
-81.23614459,-4.250050631
-81.23614459,-4.250040778
-81.23613434,-4.254462897
-81.23613433,-4.254453044
-81.23611515,-4.250060493
-81.23611515,-4.25005064
-81.23611471,-4.254472756
-81.23611471,-4.254462903
-81.2361049,-4.254482612
-81.2361049,-4.254472759
-81.23609553,-4.250070352
-81.23609552,-4.250060499
-81.23609509,-4.254502321
-81.23609508,-4.254482615
-81.23608528,-4.254522029
-81.23608528,-4.254502324
-81.23607547,-4.254531885
-81.23607547,-4.254522032
-81.23606609,-4.250080213
-81.23606608,-4.250070361
-81.23606566,-4.254541741
-81.23606566,-4.254531888
-81.23605585,-4.254561449
-81.23605585,-4.254541744
-81.23604646,-4.250090072
-81.23604646,-4.250080219
-81.23604604,-4.254571305
-81.23604604,-4.254561452
-81.23603623,-4.254591014
-81.23603623,-4.254571308
-81.23602642,-4.254610722
-81.23602642,-4.254591017
-81.23601661,-4.254620578
-81.23601661,-4.254610725
-81.2360068,-4.254640287
-81.2360068,-4.254620581
-81.235997,-4.254659995
-81.23599699,-4.25464029
-81.23598718,-4.254669851
-81.23598718,-4.254659998
-81.23597738,-4.25468956
-81.23597737,-4.254669854
-81.23596757,-4.254709268
-81.23596756,-4.254689563
-81.23595776,-4.254719124
-81.23595775,-4.254709271
-81.23594795,-4.254738833
-81.23594794,-4.254719127
-81.23593814,-4.254748689
-81.23593813,-4.254738836
-81.23593672,-4.250090106
-81.23593672,-4.250080253
-81.23592833,-4.254768397
-81.23592832,-4.254748692
-81.23591852,-4.254788106
-81.23591852,-4.2547684
-81.23590728,-4.250080262
-81.23590727,-4.250070409
-81.23588908,-4.254807821
-81.23588908,-4.254788115
-81.23588764,-4.250070415
-81.23588764,-4.250060563
-81.23587928,-4.254837382
-81.23587927,-4.254807824
-81.23586948,-4.254896502
-81.23586946,-4.254837385
-81.23586801,-4.250060569
-81.23586801,-4.250050716
-81.23585967,-4.25491621
-81.23585967,-4.254896505
-81.23584987,-4.254935919
-81.23584986,-4.254916213
-81.23584006,-4.254945775
-81.23584005,-4.254935922
-81.23583024,-4.254955631
-81.23583024,-4.254945778
-81.23582044,-4.254975339
-81.23582043,-4.254955634
-81.23581062,-4.254985195
-81.23581062,-4.254975342
-81.23580081,-4.254995051
-81.23580081,-4.254985198
-81.235791,-4.255014759
-81.235791,-4.254995054
-81.23578119,-4.255024615
-81.23578119,-4.255014762
-81.23577139,-4.255044324
-81.23577138,-4.255024618
-81.23576987,-4.250050746
-81.23576986,-4.25003104
-81.23576157,-4.25505418
-81.23576157,-4.255044327
-81.23575176,-4.255064036
-81.23575176,-4.255054183
-81.23575023,-4.250031046
-81.23575023,-4.250021193
-81.23574195,-4.255083744
-81.23574195,-4.255064039
-81.23573239,-4.250031052
-81.23573239,-4.250021199
-81.23573214,-4.2550936
-81.23573214,-4.255083747
-81.23572233,-4.255113309
-81.23572233,-4.255093603
-81.23571253,-4.255133017
-81.23571252,-4.255113312
-81.23570272,-4.255142873
-81.23570271,-4.25513302
-81.2356929,-4.255152729
-81.2356929,-4.255142876
-81.2356831,-4.255172437
-81.23568309,-4.255152732
-81.23567328,-4.255182293
-81.23567328,-4.25517244
-81.23566348,-4.255202002
-81.23566347,-4.255182296
-81.23565367,-4.25522171
-81.23565366,-4.255202005
-81.23564386,-4.255231566
-81.23564385,-4.255221713
-81.23563405,-4.255251275
-81.23563404,-4.255231569
-81.23562424,-4.255270983
-81.23562423,-4.255251278
-81.23561443,-4.255290692
-81.23561443,-4.255270986
-81.23560462,-4.255310401
-81.23560462,-4.255290695
-81.23559481,-4.255320256
-81.23559481,-4.255310404
-81.235585,-4.255339965
-81.235585,-4.255320259
-81.2355752,-4.255359674
-81.23557519,-4.255339968
-81.23556539,-4.255379382
-81.23556538,-4.255359677
-81.23555574,-4.250040959
-81.23555573,-4.250031106
-81.23555558,-4.255399091
-81.23555557,-4.255379385
-81.23554577,-4.255408947
-81.23554577,-4.255399094
-81.23553596,-4.255428655
-81.23553595,-4.25540895
-81.23552615,-4.255438511
-81.23552615,-4.255428658
-81.23551634,-4.25545822
-81.23551633,-4.255438514
-81.23550653,-4.255468076
-81.23550653,-4.255458223
-81.23549672,-4.255487784
-81.23549671,-4.255468079
-81.23548691,-4.25549764
-81.23548691,-4.255487787
-81.2354771,-4.255507496
-81.2354771,-4.255497643
-81.23544766,-4.255517358
-81.23544766,-4.255507505
-81.23543785,-4.255527213
-81.23543784,-4.255517361
-81.23542804,-4.255546922
-81.23542803,-4.255527216
-81.23541823,-4.255556778
-81.23541822,-4.255546925
-81.23540842,-4.255566634
-81.23540841,-4.255556781
-81.23539861,-4.255586342
-81.2353986,-4.255566637
-81.2353888,-4.255606051
-81.23538879,-4.255586345
-81.23537899,-4.255615907
-81.23537899,-4.255606054
-81.23536918,-4.255625762
-81.23536917,-4.25561591
-81.23535937,-4.255645471
-81.23535936,-4.255625765
-81.23534956,-4.255655327
-81.23534955,-4.255645474
-81.23533975,-4.255665183
-81.23533974,-4.25565533
-81.23532994,-4.255684891
-81.23532993,-4.255665186
-81.23532823,-4.250041028
-81.23532822,-4.250031175
-81.23532013,-4.255694747
-81.23532012,-4.255684894
-81.23531032,-4.255704603
-81.23531031,-4.25569475
-81.23530051,-4.255724311
-81.2353005,-4.255704606
-81.2352907,-4.255734167
-81.23529069,-4.255724314
-81.23528088,-4.255744023
-81.23528088,-4.25573417
-81.23527107,-4.255753879
-81.23527107,-4.255744026
-81.23526127,-4.255773587
-81.23526126,-4.255753882
-81.23525145,-4.255783443
-81.23525145,-4.25577359
-81.23524164,-4.255793299
-81.23524164,-4.255783446
-81.23523183,-4.255803155
-81.23523183,-4.255793302
-81.23522202,-4.255803158
-81.23511231,-4.250031241
-81.23511231,-4.250021388
-81.23510428,-4.255901722
-81.23510425,-4.255803194
-81.23509448,-4.255950989
-81.23509446,-4.255901725
-81.23508645,-4.255950991
-81.23508644,-4.255941139
-81.23506682,-4.255941145
-81.23506681,-4.255931292
-81.23504718,-4.255931298
-81.23504718,-4.255921445
-81.23502398,-4.250021415
-81.23502398,-4.250011563
-81.23496509,-4.250011581
-81.23496509,-4.250001728
-81.23492852,-4.258867469
-81.2349285,-4.258810144
-81.2349285,-4.258800291
-81.23492764,-4.255960893
-81.23492763,-4.255921481
-81.23491888,-4.259448787
-81.23491887,-4.259415198
-81.23491887,-4.259401315
-81.23491873,-4.258946294
-81.2349187,-4.258867472
-81.23491602,-4.250001743
-81.23491601,-4.24999189
-81.23490907,-4.259468496
-81.23490907,-4.25944879
-81.23490892,-4.258966003
-81.23490891,-4.258946297
-81.23490887,-4.258800297
-81.23490887,-4.258790445
-81.23490801,-4.255970751
-81.23490801,-4.255960899
-81.23489926,-4.259488204
-81.23489926,-4.259468499
-81.23489924,-4.259401321
-81.23489923,-4.259391468
-81.23489905,-4.258790448
-81.23489904,-4.258751036
-81.23489893,-4.258384691
-81.23489892,-4.258356924
-81.2348982,-4.25599046
-81.2348982,-4.255970754
-81.23488946,-4.259517766
-81.23488945,-4.259488207
-81.23488923,-4.258751039
-81.23488922,-4.258721481
-81.23488912,-4.258414252
-81.23488911,-4.258384694
-81.23488851,-4.256374722
-81.2348885,-4.256366662
-81.23488847,-4.256248428
-81.23488839,-4.256000316
-81.23488839,-4.255990463
-81.23487977,-4.259931586
-81.23487976,-4.25990785
-81.23487975,-4.259874262
-81.23487965,-4.259547327
-81.23487964,-4.259517769
-81.2348794,-4.258721484
-81.23487938,-4.258652514
-81.23487934,-4.258512783
-81.23487933,-4.258469342
-81.23487931,-4.258414255
-81.2348787,-4.256414136
-81.23487869,-4.256374725
-81.23487858,-4.256020024
-81.23487858,-4.256000319
-81.23487676,-4.249991902
-81.23487676,-4.249982049
-81.23487528,-4.258356932
-81.23486998,-4.260010412
-81.23486996,-4.259931589
-81.23486994,-4.259874265
-81.23486993,-4.259864412
-81.23486984,-4.259567036
-81.23486984,-4.25954733
-81.23486957,-4.258652517
-81.23486955,-4.258587578
-81.23486954,-4.258567873
-81.23486952,-4.258512786
-81.2348689,-4.256443698
-81.23486889,-4.256414139
-81.23486878,-4.256039733
-81.23486877,-4.256020027
-81.23486017,-4.26003012
-81.23486016,-4.260010415
-81.23486004,-4.259596597
-81.23486003,-4.259567039
-81.23485909,-4.256473259
-81.23485908,-4.256443701
-81.23485902,-4.256248437
-81.23485902,-4.256228731
-81.23485897,-4.256059442
-81.23485896,-4.256039736
-81.23485036,-4.260049829
-81.23485036,-4.260030123
-81.23485031,-4.259864418
-81.23485026,-4.259726479
-81.23485023,-4.259616306
-81.23485022,-4.2595966
-81.23484929,-4.256512673
-81.23484928,-4.256473262
-81.2348492,-4.256228734
-81.23484915,-4.256059445
-81.23484055,-4.260059685
-81.23484055,-4.260049832
-81.23484045,-4.259726482
-81.23484042,-4.259616309
-81.23483949,-4.256552088
-81.23483948,-4.256512676
-81.2348375,-4.249982061
-81.2348375,-4.249972208
-81.23483078,-4.260197627
-81.23483078,-4.260189566
-81.23483078,-4.260189566
-81.23483074,-4.260059688
-81.23482969,-4.256591502
-81.23482967,-4.256552091
-81.23482099,-4.260286305
-81.23482096,-4.26019763
-81.23481989,-4.256640769
-81.23481987,-4.256591505
-81.23481008,-4.256680183
-81.23481007,-4.256640772
-81.23480716,-4.260286309
-81.23480097,-4.258975889
-81.23480096,-4.258966036
-81.23480028,-4.256699892
-81.23480027,-4.256680186
-81.23479115,-4.258985744
-81.23479115,-4.258975892
-81.23479047,-4.2567196
-81.23479046,-4.256699895
-81.23478842,-4.249972223
-81.23478842,-4.24996237
-81.23478134,-4.2589956
-81.23478134,-4.258985747
-81.23477153,-4.259015309
-81.23477153,-4.258995603
-81.23477123,-4.25800047
-81.23477122,-4.25799241
-81.23477085,-4.256749165
-81.23477084,-4.256719606
-81.23476172,-4.259025165
-81.23476172,-4.259015312
-81.23476152,-4.258356966
-81.23476152,-4.258347114
-81.23476142,-4.258010326
-81.23476141,-4.258000473
-81.23476104,-4.256778726
-81.23476103,-4.256749168
-81.23475898,-4.249962379
-81.23475898,-4.249952527
-81.23475229,-4.260296179
-81.23475229,-4.260286326
-81.23475202,-4.259391513
-81.23475199,-4.259283133
-81.23475198,-4.25927328
-81.23475191,-4.259044873
-81.23475191,-4.259025168
-81.2347516,-4.258020182
-81.2347516,-4.258010329
-81.23475124,-4.256827993
-81.23475123,-4.256778729
