X,Y
474002.6373,9530109.35
474002.6373,9530124.399
474003.7264,9530124.399
474003.7264,9530159.894
474003.7264,9530171.231
474004.8155,9530171.231
474004.8155,9530181.676
474004.8155,9530218.062
474005.7065,9530109.35
474005.7065,9530110.439
474005.9046,9530218.062
474005.9046,9530248.112
474005.9046,9530254.647
474005.9046,9530264.894
474006.9937,9530264.894
474006.9938,9530270.983
474006.9938,9530278.607
474006.9938,9530286.231
474006.9938,9530287.32
474006.9938,9530291.676
474006.9938,9530298.211
474006.9938,9530304.746
474006.9938,9530309.102
474006.9938,9530311.726
474008.0829,9530311.726
474008.0829,9530317.815
474008.0829,9530323.261
474008.0829,9530329.795
474008.0829,9530339.597
474008.0829,9530342.865
474008.0829,9530357.469
474009.172,9530357.469
474009.172,9530392.964
474009.172,9530404.3
474010.2611,9530404.3
474010.2611,9530422.37
474010.2611,9530431.083
474010.2611,9530444.152
474010.2611,9530451.132
474011.3502,9530451.132
474011.3502,9530460.489
474011.3502,9530470.291
474011.3502,9530476.825
474011.3502,9530497.964
474012.2412,9530110.439
474012.4394,9530497.964
474012.4394,9530544.796
474013.3303,9530110.439
474013.3303,9530111.528
474013.5285,9530544.796
474013.5285,9530591.627
474014.6176,9530591.627
474014.6176,9530614.499
474015.5085,9530111.528
474015.5085,9530112.617
474016.5977,9530613.41
474016.5977,9530614.499
474018.7758,9530112.617
474018.7758,9530113.706
474019.8651,9530612.32
474019.8651,9530613.41
474022.0432,9530113.706
474022.0432,9530114.795
474023.1324,9530611.231
474023.1324,9530612.32
474024.2214,9530114.795
474024.2214,9530115.884
474026.3996,9530115.884
474026.3996,9530116.973
474026.3997,9530610.142
474026.3997,9530611.231
474027.4887,9530116.973
474027.4887,9530118.062
474028.5778,9530118.062
474028.5778,9530119.152
474029.6671,9530609.053
474029.6671,9530610.142
474032.9344,9530607.964
474032.9344,9530609.053
474034.667,9530119.152
474036.2017,9530606.875
474036.2017,9530607.964
474039.469,9530605.786
474039.469,9530606.875
474041.8452,9530118.062
474041.8452,9530119.152
474042.7364,9530604.697
474042.7364,9530605.786
474044.0235,9530116.973
474044.0235,9530118.062
474044.9146,9530603.608
474044.9146,9530604.697
474048.1819,9530602.518
474048.1819,9530603.608
474049.469,9530115.884
474049.469,9530116.973
474050.5581,9530114.795
474050.5581,9530115.884
474051.4493,9530601.429
474051.4493,9530602.518
474052.7364,9530113.706
474052.7364,9530114.795
474054.7166,9530600.34
474054.7166,9530601.429
474054.9146,9530112.617
474054.9146,9530113.706
474056.0037,9530111.528
474056.0037,9530112.617
474056.8948,9530599.251
474056.8948,9530600.34
474057.0928,9530109.35
474057.0928,9530111.528
474058.1819,9530107.171
474058.1819,9530109.35
474059.271,9530106.082
474059.271,9530107.171
474060.1621,9530598.162
474060.1621,9530599.251
474060.3601,9530104.993
474060.3601,9530106.082
474061.4492,9530102.815
474061.4492,9530104.993
474062.3404,9530597.073
474062.3404,9530598.162
474062.5383,9530101.726
474062.5383,9530102.815
474063.6275,9530099.548
474063.6275,9530101.726
474064.7166,9530097.369
474064.7166,9530099.548
474065.8057,9530096.28
474065.8057,9530097.369
474066.8948,9530094.102
474066.8948,9530096.28
474067.9839,9530091.924
474067.9839,9530094.102
474069.073,9530090.835
474069.073,9530091.924
474070.1621,9530088.656
474070.1621,9530090.835
474071.2512,9530086.478
474071.2512,9530088.656
474072.3403,9530085.389
474072.3403,9530086.478
474073.4294,9530083.211
474073.4294,9530085.389
474074.5186,9530082.122
474074.5186,9530083.211
474074.5187,9530597.073
474074.5187,9530598.162
474075.6077,9530079.944
474075.6077,9530082.122
474076.6968,9530077.765
474076.6968,9530079.944
474077.786,9530598.162
474077.786,9530599.251
474079.9641,9530075.587
474079.9641,9530077.765
474079.9642,9530599.251
474079.9642,9530600.34
474081.0532,9530072.32
474081.0532,9530075.587
474082.1423,9530065.785
474082.1423,9530072.32
474082.1425,9530600.34
474082.1425,9530601.429
474083.2314,9530063.607
474083.2314,9530065.785
474084.3205,9530061.429
474084.3205,9530063.607
474085.4097,9530060.34
474085.4097,9530061.429
474086.4988,9530059.25
474086.4988,9530060.34
474087.5879,9530057.072
474087.5879,9530059.25
474088.677,9530055.983
474088.677,9530057.072
474089.7661,9530054.894
474089.7661,9530055.983
474090.8552,9530052.716
474090.8552,9530054.894
474091.9443,9530051.627
474091.9443,9530052.716
474093.0334,9530049.448
474093.0334,9530051.627
474093.0336,9530601.429
474093.0336,9530603.608
474094.1225,9530048.359
474094.1225,9530049.448
474095.2116,9530047.27
474095.2116,9530048.359
474095.2118,9530603.608
474095.2118,9530604.697
474096.3008,9530045.092
474096.3008,9530047.27
474097.1919,9530603.608
474097.1919,9530604.697
474097.3899,9530044.003
474097.3899,9530045.092
474098.479,9530041.825
474098.479,9530044.003
474099.5681,9530039.646
474099.5681,9530041.825
474100.6572,9530038.557
474100.6572,9530039.646
474101.7463,9530037.468
474101.7463,9530038.557
474102.8354,9530035.29
474102.8354,9530037.468
474103.9245,9530034.201
474103.9245,9530035.29
474105.0136,9530032.023
474105.0136,9530034.201
474106.1027,9530029.844
474106.1027,9530032.023
474107.1919,9530028.755
474107.1919,9530029.844
474108.281,9530026.577
474108.281,9530028.755
474109.3701,9530024.399
474109.3701,9530026.577
474110.4592,9530022.221
474110.4592,9530024.399
474111.5483,9530020.042
474111.5483,9530022.221
474112.6374,9530018.953
474112.6374,9530020.042
474113.7265,9530016.775
474113.7265,9530018.953
474114.8156,9530014.597
474114.8156,9530016.775
474115.9047,9530012.419
474115.9047,9530014.597
474116.7959,9530602.518
474116.7959,9530603.608
474116.9938,9530010.24
474116.9938,9530012.419
474118.083,9530009.151
474118.083,9530010.24
474119.1721,9530006.973
474119.1721,9530009.151
474120.2612,9530005.884
474120.2612,9530006.973
474121.3503,9530003.706
474121.3503,9530005.884
474122.4394,9530002.617
474122.4394,9530003.706
474123.5285,9530000.438
474123.5285,9530002.617
474124.6176,9529999.349
474124.6176,9530000.438
474125.7067,9529998.26
474125.7067,9529999.349
474128.9741,9529997.171
474128.9741,9529998.26
474130.0632,9529996.082
474130.0632,9529997.171
474131.1523,9529993.904
474131.1523,9529996.082
474132.2414,9529992.815
474132.2414,9529993.904
474133.3305,9529991.726
474133.3305,9529992.815
474134.4196,9529989.547
474134.4196,9529991.726
474135.5087,9529987.369
474135.5087,9529989.547
474136.5978,9529986.28
474136.5978,9529987.369
474137.6869,9529985.191
474137.6869,9529986.28
474138.776,9529983.013
474138.776,9529985.191
474139.8652,9529981.924
474139.8652,9529983.013
474140.9543,9529980.834
474140.9543,9529981.924
474142.0434,9529978.656
474142.0434,9529980.834
474142.0435,9530602.518
474142.0435,9530603.608
474143.1325,9529977.567
474143.1325,9529978.656
474144.2216,9529976.478
474144.2216,9529977.567
474145.3107,9529974.3
474145.3107,9529976.478
474146.3998,9529973.211
474146.3998,9529974.3
474147.4889,9529972.122
474147.4889,9529973.211
474148.578,9529971.032
474148.578,9529972.122
474149.6671,9529968.854
474149.6671,9529971.032
474150.7563,9529967.765
474150.7563,9529968.854
474151.8454,9529966.676
474151.8454,9529967.765
474152.9345,9529965.587
474152.9345,9529966.676
474154.0236,9529965.587
474166.004,9530603.608
474166.004,9530604.697
474167.0929,9529954.696
474167.0929,9529965.587
474168.182,9529949.25
474168.182,9529954.696
474169.073,9529949.25
474169.073,9529950.339
474171.2512,9529950.339
474171.2512,9529951.428
474173.4295,9529951.428
474173.4295,9529952.518
474175.8059,9530604.697
474175.8059,9530605.786
474182.3406,9530605.786
474182.3406,9530606.875
474186.6968,9529626.874
474186.6968,9529633.21
474186.6968,9529634.299
474186.6969,9529948.161
474186.6969,9529952.518
474187.7859,9529562.616
474187.7859,9529566.329
474187.7859,9529567.863
