ESTE,NORTE
473940.8597,9529108.379
473940.8597,9529122.736
473939.7706,9529122.736
473939.7706,9529123.825
473938.6815,9529123.825
473938.6815,9529126.003
473937.5924,9529126.003
473937.5924,9529128.181
473936.5033,9529128.181
473936.5033,9529136.894
473935.4142,9529136.894
473935.4142,9529139.518
473935.4142,9529143.231
473936.5033,9529143.231
473936.5033,9529144.32
473938.6815,9529144.32
473938.6815,9529159.567
473939.7706,9529159.567
473939.7706,9529171.745
473938.6815,9529171.745
473938.6815,9529173.924
473937.5924,9529173.924
473937.5924,9529177.191
473936.5033,9529177.191
473936.5033,9529179.369
473935.4142,9529179.369
473935.4142,9529182.636
473934.3251,9529182.636
473934.3251,9529185.904
473933.236,9529185.904
473933.236,9529188.082
473932.1469,9529188.082
473932.1469,9529190.26
473931.0578,9529190.26
473931.0578,9529193.973
473931.0578,9529195.507
473933.236,9529195.507
473933.236,9529196.597
473949.5725,9529196.597
473949.5725,9529208.577
473949.5725,9529209.666
473950.6616,9529209.666
473950.6616,9529210.755
473951.7507,9529210.755
473951.7507,9529211.844
473952.8398,9529211.844
473952.8398,9529212.933
473953.9289,9529212.933
473953.9289,9529214.022
473955.018,9529214.022
473955.018,9529215.111
473957.1962,9529215.111
473957.1962,9529221.2
473957.1962,9529227.289
473956.1071,9529227.289
473956.1071,9529228.379
473955.018,9529228.379
473955.018,9529229.468
473953.9289,9529229.468
473953.9289,9529230.557
473952.8398,9529230.557
473952.8398,9529231.646
473951.7507,9529231.646
473951.7507,9529233.824
473950.6616,9529233.824
473950.6616,9529234.913
473949.5725,9529234.913
473949.5725,9529237.091
473948.4834,9529237.091
473948.4834,9529238.18
473947.3943,9529238.18
473947.3943,9529240.359
473946.3052,9529240.359
473946.3052,9529241.448
473945.2161,9529241.448
473945.2161,9529242.537
473944.127,9529242.537
473944.127,9529243.626
473932.1469,9529243.626
473932.1469,9529245.804
473931.0578,9529245.804
473931.0578,9529254.517
473929.9687,9529254.517
473929.9687,9529260.853
