x_utm_wgs8,y_utm_wgs8,x_geo_wgs8,y_geo_wgs8,x_utm_psad,y_utm_psad,x_geo_psad,y_geo_psad
473745.9108,9529736.988,-81.2365858,-4.25450217,474002.6373,9530109.35,-81.23426209,-4.25108768
473745.9108,9529752.038,-81.23658576,-4.254366023,474002.6373,9530124.399,-81.23426204,-4.250951533
473746.9999,9529752.038,-81.23657595,-4.254366026,474003.7264,9530124.399,-81.23425223,-4.250951536
473746.9999,9529787.532,-81.23657585,-4.254044914,474003.7264,9530159.894,-81.23425213,-4.250630425
473746.9999,9529798.869,-81.23657582,-4.253942355,474003.7264,9530171.231,-81.2342521,-4.250527867
473748.089,9529798.869,-81.236566,-4.253942358,474004.8155,9530171.231,-81.23424229,-4.25052787
473748.089,9529809.314,-81.23656597,-4.253847861,474004.8155,9530181.676,-81.23424226,-4.250433372
473748.089,9529845.7,-81.23656587,-4.253518688,474004.8155,9530218.062,-81.23424216,-4.2501042
473748.98,9529736.988,-81.23655815,-4.254502178,474005.7065,9530109.35,-81.23423443,-4.251087689
473748.98,9529738.077,-81.23655814,-4.254492325,474005.7065,9530110.439,-81.23423443,-4.251077836
473749.1781,9529845.7,-81.23655606,-4.253518691,474005.9046,9530218.062,-81.23423235,-4.250104203
473749.1781,9529875.749,-81.23655598,-4.253246843,474005.9046,9530248.112,-81.23423226,-4.249832355
473749.1781,9529882.284,-81.23655596,-4.253187726,474005.9046,9530254.647,-81.23423225,-4.249773238
473749.1781,9529892.531,-81.23655593,-4.253095021,474005.9046,9530264.894,-81.23423222,-4.249680533
473750.2672,9529892.531,-81.23654612,-4.253095024,474006.9937,9530264.894,-81.2342224,-4.249680536
473750.2672,9529898.621,-81.2365461,-4.253039937,474006.9938,9530270.983,-81.23422239,-4.249625449
473750.2672,9529906.244,-81.23654608,-4.252970967,474006.9938,9530278.607,-81.23422237,-4.24955648
473750.2672,9529913.868,-81.23654606,-4.252901998,474006.9938,9530286.231,-81.23422235,-4.24948751
473750.2672,9529914.957,-81.23654605,-4.252892145,474006.9938,9530287.32,-81.23422234,-4.249477657
473750.2672,9529919.313,-81.23654604,-4.252852734,474006.9938,9530291.676,-81.23422233,-4.249438246
473750.2672,9529925.848,-81.23654602,-4.252793617,474006.9938,9530298.211,-81.23422231,-4.24937913
473750.2672,9529932.383,-81.23654601,-4.2527345,474006.9938,9530304.746,-81.2342223,-4.249320013
473750.2672,9529936.739,-81.23654599,-4.252695089,474006.9938,9530309.102,-81.23422228,-4.249280602
473750.2672,9529939.363,-81.23654599,-4.252671353,474006.9938,9530311.726,-81.23422228,-4.249256866
473751.3563,9529939.363,-81.23653617,-4.252671356,474008.0829,9530311.726,-81.23421246,-4.249256869
473751.3563,9529945.452,-81.23653616,-4.25261627,474008.0829,9530317.815,-81.23421245,-4.249201782
473751.3563,9529950.897,-81.23653614,-4.252567006,474008.0829,9530323.261,-81.23421243,-4.249152518
473751.3563,9529957.432,-81.23653612,-4.252507889,474008.0829,9530329.795,-81.23421241,-4.249093402
473751.3563,9529967.234,-81.2365361,-4.252419214,474008.0829,9530339.597,-81.23421239,-4.249004727
473751.3563,9529970.501,-81.23653609,-4.252389655,474008.0829,9530342.865,-81.23421238,-4.248975168
473751.3563,9529985.105,-81.23653605,-4.252257538,474008.0829,9530357.469,-81.23421234,-4.248843052
473752.4454,9529985.105,-81.23652623,-4.252257542,474009.172,9530357.469,-81.23420252,-4.248843055
473752.4454,9530020.6,-81.23652613,-4.251936429,474009.172,9530392.964,-81.23420243,-4.248521943
473752.4454,9530031.936,-81.2365261,-4.251833871,474009.172,9530404.3,-81.2342024,-4.248419385
473753.5345,9530031.936,-81.23651629,-4.251833874,474010.2611,9530404.3,-81.23419258,-4.248419388
473753.5345,9530050.005,-81.23651624,-4.251670407,474010.2611,9530422.37,-81.23419253,-4.248255921
473753.5345,9530058.718,-81.23651622,-4.251591584,474010.2611,9530431.083,-81.23419251,-4.248177098
473753.5345,9530071.787,-81.23651618,-4.251473351,474010.2611,9530444.152,-81.23419247,-4.248058865
473753.5345,9530078.768,-81.23651616,-4.251410204,474010.2611,9530451.132,-81.23419245,-4.247995718
473754.6236,9530078.768,-81.23650635,-4.251410207,474011.3502,9530451.132,-81.23418264,-4.247995721
473754.6236,9530088.124,-81.23650632,-4.251325562,474011.3502,9530460.489,-81.23418262,-4.247911076
473754.6236,9530097.926,-81.23650629,-4.251236887,474011.3502,9530470.291,-81.23418259,-4.247822401
473754.6236,9530104.46,-81.23650628,-4.25117777,474011.3502,9530476.825,-81.23418257,-4.247763284
473754.6236,9530125.599,-81.23650622,-4.250986536,474011.3502,9530497.964,-81.23418251,-4.247572051
473755.5146,9529738.077,-81.23649926,-4.254492344,474012.2412,9530110.439,-81.23417554,-4.251077854
473755.7127,9530125.599,-81.2364964,-4.250986539,474012.4394,9530497.964,-81.2341727,-4.247572054
473755.7127,9530172.43,-81.23649627,-4.250562869,474012.4394,9530544.796,-81.23417257,-4.247148384
473756.6037,9529738.077,-81.23648944,-4.254492347,474013.3303,9530110.439,-81.23416573,-4.251077857
473756.6037,9529739.166,-81.23648944,-4.254482494,474013.3303,9530111.528,-81.23416573,-4.251068004
473756.8018,9530172.43,-81.23648646,-4.250562872,474013.5285,9530544.796,-81.23416276,-4.247148387
473756.8018,9530219.261,-81.23648633,-4.250139201,474013.5285,9530591.627,-81.23416263,-4.246724717
473757.8909,9530219.261,-81.23647652,-4.250139204,474014.6176,9530591.627,-81.23415282,-4.24672472
473757.8909,9530242.133,-81.23647645,-4.249932296,474014.6176,9530614.499,-81.23415275,-4.246517811
473758.7819,9529739.166,-81.23646981,-4.2544825,474015.5085,9530111.528,-81.2341461,-4.25106801
473758.7819,9529740.256,-81.23646981,-4.254472647,474015.5085,9530112.617,-81.23414609,-4.251058157
473759.871,9530241.043,-81.23645861,-4.249942154,474016.5977,9530613.41,-81.23413491,-4.246527669
473759.871,9530242.133,-81.23645861,-4.249932301,474016.5977,9530614.499,-81.23413491,-4.246517817
473762.0492,9529740.256,-81.23644037,-4.254472656,474018.7758,9530112.617,-81.23411665,-4.251058166
473762.0492,9529741.345,-81.23644036,-4.254462803,474018.7758,9530113.706,-81.23411665,-4.251048313
473763.1383,9530239.954,-81.23642917,-4.249952016,474019.8651,9530612.32,-81.23410547,-4.246537531
473763.1383,9530241.043,-81.23642917,-4.249942163,474019.8651,9530613.41,-81.23410547,-4.246527678
473765.3165,9529741.345,-81.23641092,-4.254462812,474022.0432,9530113.706,-81.23408721,-4.251048322
473765.3165,9529742.434,-81.23641092,-4.25445296,474022.0432,9530114.795,-81.23408721,-4.25103847
473766.4056,9530238.865,-81.23639973,-4.249961877,474023.1324,9530611.231,-81.23407604,-4.246547393
473766.4056,9530239.954,-81.23639973,-4.249952025,474023.1324,9530612.32,-81.23407603,-4.24653754
473767.4947,9529742.434,-81.23639129,-4.254452966,474024.2214,9530114.795,-81.23406758,-4.251038476
473767.4947,9529743.523,-81.23639129,-4.254443113,474024.2214,9530115.884,-81.23406757,-4.251028623
473769.6729,9529743.523,-81.23637166,-4.254443119,474026.3996,9530115.884,-81.23404795,-4.251028629
473769.6729,9529744.612,-81.23637165,-4.254433266,474026.3996,9530116.973,-81.23404794,-4.251018776
473769.6729,9530237.776,-81.23637029,-4.249971739,474026.3997,9530610.142,-81.2340466,-4.246557255
473769.6729,9530238.865,-81.23637029,-4.249961887,474026.3997,9530611.231,-81.23404659,-4.246547402
473770.762,9529744.612,-81.23636184,-4.254433269,474027.4887,9530116.973,-81.23403813,-4.251018779
473770.762,9529745.701,-81.23636184,-4.254423416,474027.4887,9530118.062,-81.23403813,-4.251008926
473771.8511,9529745.701,-81.23635202,-4.254423419,474028.5778,9530118.062,-81.23402831,-4.251008929
473771.8511,9529746.79,-81.23635202,-4.254413566,474028.5778,9530119.152,-81.23402831,-4.250999076
473772.9402,9530236.687,-81.23634085,-4.249981601,474029.6671,9530609.053,-81.23401716,-4.246567116
473772.9402,9530237.776,-81.23634085,-4.249971748,474029.6671,9530610.142,-81.23401716,-4.246557264
473776.2075,9530235.598,-81.23631142,-4.249991463,474032.9344,9530607.964,-81.23398772,-4.246576978
473776.2075,9530236.687,-81.23631141,-4.24998161,474032.9344,9530609.053,-81.23398772,-4.246567125
473777.9402,9529746.79,-81.23629715,-4.254413583,474034.667,9530119.152,-81.23397344,-4.250999093
473779.4748,9530234.509,-81.23628198,-4.250001325,474036.2017,9530606.875,-81.23395828,-4.24658684
473779.4748,9530235.598,-81.23628197,-4.249991472,474036.2017,9530607.964,-81.23395828,-4.246576987
473782.7421,9530233.42,-81.23625254,-4.250011187,474039.469,9530605.786,-81.23392884,-4.246596702
473782.7421,9530234.509,-81.23625253,-4.250001334,474039.469,9530606.875,-81.23392884,-4.246586849
473785.1184,9529745.701,-81.23623247,-4.254423456,474041.8452,9530118.062,-81.23390876,-4.251008966
473785.1184,9529746.79,-81.23623246,-4.254413603,474041.8452,9530119.152,-81.23390876,-4.250999113
473786.0094,9530232.331,-81.2362231,-4.250021048,474042.7364,9530604.697,-81.2338994,-4.246606563
473786.0094,9530233.42,-81.23622309,-4.250011196,474042.7364,9530605.786,-81.2338994,-4.246596711
473787.2966,9529744.612,-81.23621284,-4.254433315,474044.0235,9530116.973,-81.23388914,-4.251018824
473787.2966,9529745.701,-81.23621284,-4.254423462,474044.0235,9530118.062,-81.23388913,-4.251008971
473788.1876,9530231.242,-81.23620347,-4.250030907,474044.9146,9530603.608,-81.23387978,-4.246616422
473788.1876,9530232.331,-81.23620347,-4.250021055,474044.9146,9530604.697,-81.23387978,-4.246606569
473791.4549,9530230.152,-81.23617403,-4.250040769,474048.1819,9530602.518,-81.23385034,-4.246626284
473791.4549,9530231.242,-81.23617403,-4.250030916,474048.1819,9530603.608,-81.23385034,-4.246616431
473792.7421,9529743.523,-81.23616377,-4.254443183,474049.469,9530115.884,-81.23384007,-4.251028692
473792.7421,9529744.612,-81.23616377,-4.25443333,474049.469,9530116.973,-81.23384007,-4.251018839
473793.8312,9529742.434,-81.23615396,-4.254453038,474050.5581,9530114.795,-81.23383026,-4.251038548
473793.8312,9529743.523,-81.23615396,-4.254443186,474050.5581,9530115.884,-81.23383026,-4.251028695
473794.7222,9530229.063,-81.23614459,-4.250050631,474051.4493,9530601.429,-81.2338209,-4.246636146
473794.7222,9530230.152,-81.23614459,-4.250040778,474051.4493,9530602.518,-81.2338209,-4.246626293
473796.0094,9529741.345,-81.23613434,-4.254462897,474052.7364,9530113.706,-81.23381063,-4.251048407
473796.0094,9529742.434,-81.23613433,-4.254453044,474052.7364,9530114.795,-81.23381063,-4.251038554
473797.9895,9530227.974,-81.23611515,-4.250060493,474054.7166,9530600.34,-81.23379146,-4.246646007
473797.9895,9530229.063,-81.23611515,-4.25005064,474054.7166,9530601.429,-81.23379146,-4.246636155
473798.1876,9529740.256,-81.23611471,-4.254472756,474054.9146,9530112.617,-81.23379101,-4.251058265
473798.1876,9529741.345,-81.23611471,-4.254462903,474054.9146,9530113.706,-81.23379101,-4.251048412
473799.2767,9529739.166,-81.2361049,-4.254482612,474056.0037,9530111.528,-81.2337812,-4.251068121
473799.2767,9529740.256,-81.2361049,-4.254472759,474056.0037,9530112.617,-81.23378119,-4.251058268
473800.1677,9530226.885,-81.23609553,-4.250070352,474056.8948,9530599.251,-81.23377184,-4.246655866
473800.1677,9530227.974,-81.23609552,-4.250060499,474056.8948,9530600.34,-81.23377184,-4.246646013
473800.3658,9529736.988,-81.23609509,-4.254502321,474057.0928,9530109.35,-81.23377139,-4.25108783
473800.3658,9529739.166,-81.23609508,-4.254482615,474057.0928,9530111.528,-81.23377138,-4.251068124
473801.4549,9529734.81,-81.23608528,-4.254522029,474058.1819,9530107.171,-81.23376158,-4.251107538
473801.4549,9529736.988,-81.23608528,-4.254502324,474058.1819,9530109.35,-81.23376158,-4.251087833
473802.544,9529733.721,-81.23607547,-4.254531885,474059.271,9530106.082,-81.23375177,-4.251117394
